pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,pl_dens,pl_eqt,pl_insol,st_teff,st_mass,st_rad,st_lum,st_met,st_spectype,discoverymethod,disc_year,pl_orbincl,planet_type
Kepler-54 d,Kepler-54,20.99589959,0.1175,0.0,,0.12311557,,329.0,2.76,3726.0,0.49,0.47,,-0.12,,Transit,2014.0,89.95,EarthLike
Kepler-1193 b,Kepler-1193,2.832652134,0.0397,0.0,,0.10081202,,1375.0,846.15,6072.0,1.034,1.047,,-0.08,,Transit,2016.0,88.24,DesertWorld
Kepler-1194 b,Kepler-1194,16.22371307,0.121,0.0,,0.16415409,,783.0,89.07,5851.0,0.895,1.115,,-0.26,,Transit,2016.0,89.95,SuperEarth
Kepler-304 c,Kepler-304,5.315953474,0.056,0.0,,0.2497997,,864.0,131.97,4910.0,0.828,0.892,,0.56,,Transit,2014.0,89.95,MiniNeptune
Kepler-136 c,Kepler-136,16.39926461,0.134,0.0,,0.17307551,,847.0,121.53,6156.0,1.193,1.303,,0.14,,Transit,2014.0,89.82,DesertWorld
Kepler-304 e,Kepler-304,1.499146953,0.0241,0.0,,0.12757627,,1318.0,712.57,4910.0,0.828,0.892,,0.56,,Transit,2016.0,89.38,DesertWorld
Kepler-537 b,Kepler-537,3.247555219,0.0432,0.0,,0.119547,,1176.0,452.61,5726.0,1.018,0.937,,0.12,,Transit,2016.0,89.38,DesertWorld
Kepler-1825 b,Kepler-1825,1.025857703,0.0181,0.0,,0.12043914,,1468.0,1098.5,5035.0,0.754,0.791,,-0.06,,Transit,2021.0,89.95,DesertWorld
Kepler-126 b,Kepler-126,10.49567752,0.0994,0.0,,0.13738983,,1017.0,253.1,6239.0,1.188,1.358,,-0.14,,Transit,2014.0,86.52,DesertWorld
Kepler-305 e,Kepler-305,3.20539622,0.0399,0.0,,0.1516641,,1000.0,236.11,5103.0,0.823,0.787,,0.04,,Transit,2020.0,87.1,DesertWorld
Kepler-520 c,Kepler-520,5.21104261,0.0613,0.0,,0.09367489,,1104.0,351.69,6108.0,1.132,1.03,,0.07,,Transit,2016.0,89.95,DesertWorld
Kepler-1826 b,Kepler-1826,1.615359728,0.0215,0.0,,0.10527273,,810.0,101.71,3815.0,0.505,0.498,,-0.2,,Transit,2021.0,87.09,DesertWorld
Kepler-1192 b,Kepler-1192,25.2034787,0.1693,0.0,,0.22928044,,600.0,30.62,5831.0,1.016,0.921,,0.0,,Transit,2016.0,89.95,MiniNeptune
Kepler-1191 b,Kepler-1191,5.60013327,0.0587,0.0,,0.15434053,,952.0,194.26,5288.0,0.858,0.978,,0.18,,Transit,2016.0,89.84,DesertWorld
Kepler-304 d,Kepler-304,9.6534764,0.0833,0.0,,0.28994608,,709.0,59.64,4910.0,0.828,0.892,,0.56,,Transit,2014.0,89.38,MiniNeptune
Kepler-1203 b,Kepler-1203,0.588001053,0.0114,0.0,,0.08832204,,1188.0,473.45,3814.0,0.576,0.57,,0.24,,Transit,2016.0,83.78,DesertWorld
Kepler-298 d,Kepler-298,77.4740991,0.3078,0.0,,0.23463329,,277.0,1.4,4463.0,0.662,0.611,,-0.24,,Transit,2014.0,89.57,MiniNeptune
Kepler-1201 b,Kepler-1201,15.18727049,0.1183,0.0,,0.17307551,,789.0,91.56,6136.0,0.956,1.005,,-0.36,,Transit,2016.0,86.77,SuperEarth
Kepler-299 b,Kepler-299,2.92721559,0.0402,0.0,,0.1088413,,1241.0,561.53,5896.0,1.008,0.916,,-0.08,,Transit,2014.0,87.66,DesertWorld
